"";"id";"team_h";"team_a";"result";"match_day";"scored_goals_team_h";"conceded_goals_team_h";"win_team_h";"draw_team_h";"loss_team_h";"win_rate_team_h";"win_rate_last_5_team_h";"win_rate_h_team_h";"win_rate_h_last_5_team_h";"draw_rate_team_h";"draw_rate_last_5_team_h";"draw_rate_h_team_h";"draw_rate_h_last_5_team_h";"loss_rate_team_h";"loss_rate_last_5_team_h";"loss_rate_h_team_h";"loss_rate_h_last_5_team_h";"avg_scored_goals_team_h";"avg_scored_goals_last_5_team_h";"avg_scored_goals_h_team_h";"avg_scored_goals_h_last_5_team_h";"avg_conceded_goals_team_h";"avg_conceded_goals_last_5_team_h";"avg_conceded_goals_h_team_h";"avg_conceded_goals_h_last_5_team_h";"scored_goals_team_a";"conceded_goals_team_a";"win_team_a";"draw_team_a";"loss_team_a";"win_rate_team_a";"win_rate_last_5_team_a";"win_rate_a_team_a";"win_rate_a_last_5_team_a";"draw_rate_team_a";"draw_rate_last_5_team_a";"draw_rate_a_team_a";"draw_rate_a_last_5_team_a";"loss_rate_team_a";"loss_rate_last_5_team_a";"loss_rate_a_team_a";"loss_rate_a_last_5_team_a";"avg_scored_goals_team_a";"avg_scored_goals_last_5_team_a";"avg_scored_goals_a_team_a";"avg_scored_goals_a_last_5_team_a";"avg_conceded_goals_team_a";"avg_conceded_goals_last_5_team_a";"avg_conceded_goals_a_team_a";"avg_conceded_goals_a_last_5_team_a";"max_value_player_h";"max_value_position_g_player_h";"max_value_position_d_player_h";"max_value_position_m_player_h";"max_value_position_f_player_h";"avg_goals_per_hour_5_player_h";"avg_goals_per_hour_10_player_h";"avg_assists_per_hour_5_player_h";"avg_assists_per_hour_10_player_h";"avg_goals_conceded_per_hour_5_player_h";"avg_goals_conceded_per_hour_10_player_h";"most_valuable_player_playing_player_h";"most_valuable_g_player_playing_player_h";"most_valuable_f_player_playing_player_h";"most_valuable_m_player_playing_player_h";"best_goal_scorer_playing_player_h";"best_m_goal_scorer_playing_player_h";"best_f_goal_scorer_playing_player_h";"best_assists_player_playing_player_h";"best_assists_d_player_playing_player_h";"best_assists_m_player_playing_player_h";"best_assists_f_player_playing_player_h";"max_value_player_a";"max_value_position_g_player_a";"max_value_position_d_player_a";"max_value_position_m_player_a";"max_value_position_f_player_a";"avg_goals_per_hour_5_player_a";"avg_goals_per_hour_10_player_a";"avg_assists_per_hour_5_player_a";"avg_assists_per_hour_10_player_a";"avg_goals_conceded_per_hour_5_player_a";"avg_goals_conceded_per_hour_10_player_a";"most_valuable_player_playing_player_a";"most_valuable_g_player_playing_player_a";"most_valuable_f_player_playing_player_a";"most_valuable_m_player_playing_player_a";"best_goal_scorer_playing_player_a";"best_m_goal_scorer_playing_player_a";"best_f_goal_scorer_playing_player_a";"best_assists_player_playing_player_a";"best_assists_d_player_playing_player_a";"best_assists_m_player_playing_player_a";"best_assists_f_player_playing_player_a";"season"
"21";37;16;18;"1";2020-10-04;1;0;1;0;0;0,333333333333333;0,333333333333333;0;0;0;0;0;0;0,666666666666667;0,666666666666667;1;1;1;1;2;2;2;2;5;5;3;3;0;1;0;0;0;0;0;0,333333333333333;0,333333333333333;0;0;0,666666666666667;0,666666666666667;1;1;1,66666666666667;1,66666666666667;2;2;3,66666666666667;3,66666666666667;5;5;84;45;50;59;84;0,0512820512820513;0,0512820512820513;0,0544309491677913;0,0544309491677913;1,20135431320015;1,20135431320015;1;1;1;0;1;0;1;1;1;1;1;60;45;49;60;55;0,100645386359672;0,100645386359672;0,0521541950113379;0,0521541950113379;4,42299325872762;4,42299325872762;1;1;1;1;1;1;1;1;1;1;0;"2020/2021"
"22";29;1;15;"1";2020-10-04;1;3;0;0;1;0,666666666666667;0,666666666666667;1;1;0;0;0;0;0,333333333333333;0,333333333333333;0;0;2;2;2;2;1,33333333333333;1,33333333333333;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1,33333333333333;1,33333333333333;1;1;119;50;55;119;85;0,180740885549658;0,180740885549658;0,0896610896610897;0,0896610896610897;0,939698043481252;0,939698043481252;1;1;1;1;1;1;1;1;0;1;0;59;50;55;54;59;0;0;0;0;0,94535961014359;0,94535961014359;1;1;1;0;0;0;0;0;0;0;0;"2020/2021"
"23";38;20;8;"1";2020-10-04;0;4;0;0;1;0,333333333333333;0,333333333333333;0;0;0;0;0;0;0,666666666666667;0,666666666666667;1;1;1;1;1;1;2,33333333333333;2,33333333333333;3;3;0;3;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;3;3,33333333333333;3,33333333333333;4;4;85;55;55;65;85;0,0476190476190476;0,0476190476190476;0,0213219616204691;0,0213219616204691;2,01952675284616;2,01952675284616;1;1;1;1;1;0;1;1;0;0;0;60;45;50;55;60;0,0763888888888889;0,0763888888888889;0,0555555555555556;0,0555555555555556;1,86728208801656;1,86728208801656;1;1;1;1;1;0;1;1;1;1;0;"2020/2021"
"24";35;13;17;"2";2020-10-04;3;2;1;0;0;0,5;0,5;0;0;0;0;0;0;0,5;0,5;1;1;2;2;1;1;2,5;2,5;3;3;1;1;0;1;0;0,333333333333333;0,333333333333333;1;1;0,333333333333333;0,333333333333333;0;0;0,333333333333333;0,333333333333333;0;0;2;2;5;5;1,33333333333333;1,33333333333333;2;2;105;55;55;105;90;0,140786749482402;0,140786749482402;0,0952380952380952;0,0952380952380952;4,22424572348394;4,22424572348394;1;1;1;1;1;1;0;1;1;1;0;105;55;60;91;105;0,0990187857657737;0,0990187857657737;0,158611457323547;0,158611457323547;1,3279482172668;1,3279482172668;1;1;1;0;1;1;1;1;0;1;1;"2020/2021"
"25";30;2;11;"1";2020-10-04;3;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;2;2;1;1;0;0;0;0;3;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;3;3;2;2;1,33333333333333;1,33333333333333;0;0;70;45;50;70;60;0,0996240601503759;0,0996240601503759;0,0996240601503759;0,0996240601503759;0;0;1;1;1;1;1;1;0;1;1;1;0;121;60;75;121;94;0,557765722322684;0,557765722322684;0,10906862745098;0,10906862745098;0,735423225638082;0,735423225638082;1;1;1;1;1;1;0;1;1;1;1;"2020/2021"
"26";41;7;11;"X";2020-10-17;4;2;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;3;3;4,5;4,5;1,25;1,25;2;2;2;7;0;0;1;0,75;0,75;0,5;0,5;0;0;0;0;0,25;0,25;0,5;0,5;2,75;2,75;2;2;2,75;2,75;3,5;3,5;80;50;61;77;80;0,159495233231188;0,159495233231188;0,145045430759716;0,145045430759716;1,10890956297364;1,10890956297364;1;1;1;1;1;1;1;1;1;1;1;122;45;75;122;94;0,297619047619048;0,297619047619048;0,0977929418035871;0,0977929418035871;2,15421185824684;2,15421185824684;1;0;1;1;1;1;0;1;1;1;1;"2020/2021"
"27";39;5;16;"X";2020-10-17;4;0;1;0;0;0,5;0,5;0,5;0,5;0,25;0,25;0;0;0,25;0,25;0,5;0,5;2,5;2,5;2;2;1,5;1,5;1;1;2;0;1;0;0;0,5;0,5;0,5;0,5;0;0;0;0;0,5;0,5;0,5;0,5;1,25;1,25;0,5;0,5;1,5;1,5;0,5;0,5;94;50;59;84;94;0,189255189255189;0,189255189255189;0,159340659340659;0,159340659340659;0,60540587293265;0,60540587293265;1;1;1;1;1;1;1;1;1;1;1;85;45;50;64;85;0,0726495726495727;0,0726495726495727;0,0579172289698606;0,0579172289698606;0,914549464851751;0,914549464851751;1;1;1;1;1;1;1;1;1;1;1;"2020/2021"
"28";44;12;1;"1";2020-10-17;1;1;0;1;0;0,333333333333333;0,333333333333333;0;0;0,333333333333333;0,333333333333333;0;0;0,333333333333333;0,333333333333333;1;1;2;2;2;2;2,33333333333333;2,33333333333333;5;5;2;1;1;0;0;0,75;0,75;0,5;0,5;0;0;0;0;0,25;0,25;0,5;0,5;2;2;2;2;1,25;1,25;1,5;1,5;117;60;60;117;0;0,0873015873015873;0,0873015873015873;0,0796406525573192;0,0796406525573192;1,28711400627127;1,28711400627127;1;1;0;1;1;1;0;1;0;1;0;119;50;55;119;58;0,168594446574098;0,168594446574098;0,0910553410553411;0,0910553410553411;0,918674491146199;0,918674491146199;1;1;0;1;0;1;0;0;1;1;0;"2020/2021"
"29";45;14;13;"2";2020-10-17;3;1;1;0;0;0,5;0,5;0,5;0,5;0,25;0,25;0;0;0,25;0,25;0,5;0,5;1,5;1,5;1,5;1,5;1,25;1,25;2;2;1;6;0;0;1;0,333333333333333;0,333333333333333;1;1;0;0;0;0;0,666666666666667;0,666666666666667;0;0;1,66666666666667;1,66666666666667;3;3;3,66666666666667;3,66666666666667;2;2;64;50;50;59;64;0,0802154195011338;0,0802154195011338;0,169701213818861;0,169701213818861;0,757905689938949;0,757905689938949;1;1;1;1;1;1;1;1;0;1;1;105;55;55;105;89;0,1256038647343;0,1256038647343;0,108465608465608;0,108465608465608;4,41747059345527;4,41747059345527;1;1;1;1;1;1;0;1;1;1;1;"2020/2021"
"30";46;15;8;"X";2020-10-18;1;2;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0,25;0,25;0;0;1,5;1,5;1,5;1,5;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0,75;0,75;1,5;1,5;2,75;2,75;2,5;2,5;58;50;54;58;58;0,0119047619047619;0,0119047619047619;0,0119047619047619;0,0119047619047619;1,13442459796882;1,13442459796882;0;1;0;1;1;0;1;1;1;0;0;60;45;49;55;60;0,0572916666666667;0,0572916666666667;0,0238095238095238;0,0238095238095238;1,18431276598204;1,18431276598204;1;1;1;0;1;0;1;1;1;1;0;"2020/2021"
